Company,City,Number of Workers,WARN Received Date,Effective Date
Microsoft,1045 La Avenida  Mountain View CA 94043,7,2025-06-02,08/01/2025
Microsoft,445 & 455 North Mary Avenue  Sunnyvale CA 94085,1,2025-06-02,08/01/2025
Google,1265 Borregas Avenue  Sunnyvale CA 94089,11,2025-05-29,07/06/2025
Google,1190 Bordeaux Drive  Sunnyvale CA 94089,33,2025-05-29,07/06/2025
Google,1195 Borregas Drive  Sunnyvale CA 94089,1,2025-05-29,07/06/2025
Google,237 Moffett Park Drive  Sunnyvale CA 94089,8,2025-05-29,07/06/2025
Amazon (SJC11 Facility),1100 Enterprise Way  Sunnyvale CA 94089,33,2025-05-15,07/07/2025
Amazon (SJC14 Facility),905 11th Avenue  Sunnyvale CA 94089,6,2025-05-15,07/07/2025
Amazon (SJC31 Facility),1100 Discovery Way  Sunnyvale CA 94089,5,2025-05-15,07/07/2025
Amazon (SJC32 Facility),1140 Enterprise Way  Sunnyvale CA 94089,8,2025-05-15,07/07/2025
Microsoft,770 E Middlefield  Mountain View CA 94043,1,2025-05-14,07/12/2025
Microsoft,3201 Scott Blvd  Santa Clara CA 95054,3,2025-05-14,07/12/2025
Microsoft,1045 La Avenida  Mountain View CA 94043,82,2025-05-14,07/12/2025
Amazon,140 Promenade Way  Thousand Oaks CA 91362,76,2025-03-14,05/13/2025
Google,19520 Jamboree Road  Irvine CA 92612,42,2025-02-27,04/06/2025
Google,19510 Jamboree Road  Irvine CA 92612,10,2025-02-27,04/27/2025
Amazon,22001 Ventura Blvd Woodland Hills CA 91364,10,2025-01-15,03/09/2025
